Run_ID,Query,Round,Provider,Latency,Text_Chars,Success,Error
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,1,SearchApi,3.646108,899.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,1,SerpApi,9.039871,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,1,SerpApi,1.434655,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,1,SearchApi,1.427191,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,2,SerpApi,0.134756,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,2,SearchApi,10.582621,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,2,SearchApi,7.237762,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,2,SerpApi,0.411140,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,3,SearchApi,4.818197,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,3,SerpApi,0.436286,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,3,SerpApi,0.152131,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,3,SearchApi,2.448878,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,4,SerpApi,0.151156,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,4,SearchApi,2.746870,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,4,SearchApi,4.890163,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,4,SerpApi,0.422141,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,5,SearchApi,2.059665,899.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,5,SerpApi,0.166788,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,5,SerpApi,0.160509,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,5,SearchApi,5.372325,893.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,6,SerpApi,0.424404,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,6,SearchApi,1.708301,899.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,6,SearchApi,2.546733,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,6,SerpApi,0.501158,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,7,SearchApi,5.609920,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,7,SerpApi,0.420655,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,7,SerpApi,0.150686,881.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,7,SearchApi,4.545136,0.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,8,SerpApi,0.426136,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,8,SearchApi,3.544574,899.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,8,SearchApi,6.490077,0.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,8,SerpApi,0.429329,881.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,9,SearchApi,11.951718,902.000000,True,
20260713T182115730906Z,Model Context Protocol MCP python servers open source examples,9,SerpApi,0.426758,902.000000,True,
20260713T182115730906Z,n8n webhooks custom HTTP response configuration guidelines,9,SerpApi,0.144791,881.000000,True,
